offender_id,name,alias,age,gender,district_of_origin,education,occupation,prior_convictions,gang_affiliation,status,risk_score
45,Girish Murthy,Comet-00,25,Male,Dakshina Kannada,Post-Graduate,Unemployed,8,Local Gang,Arrested,0.99
46,Arun Pillai,Orion-99,26,Male,Udupi,Secondary,Trader,7,Local Gang,Absconding,0.6
47,Pooja Sharma,Mirage-86,39,Male,Ballari,Secondary,Farmer,0,None,Juvenile,0.85
48,Anjali Sharma,Ranger-79,46,Male,Ballari,Graduate,Trader,5,None,Juvenile,0.61
49,Ramesh Naik,Canyon-88,35,Female,Shivamogga,Primary,Trader,0,None,Acquitted,0.88
50,Arun Prasad,Titan-65,60,Female,Mysuru,Illiterate,Trader,4,None,Acquitted,0.68
51,Anjali Raju,Zenith-58,67,Male,Bengaluru Rural,Primary,Unknown,4,None,Juvenile,0.49
52,Maria Reddy,Beacon-51,74,Male,Bengaluru Urban,Secondary,Driver,5,Local Gang,Absconding,0.58
53,Kumar Patil,Domino-49,75,Male,Dharwad,Post-Graduate,Labourer,3,Local Gang,Juvenile,0.51
54,Rekha Shetty,Onyx-98,27,Male,Belagavi,Post-Graduate,Driver,6,Drug Cartel,Bail,0.86
55,Anjali Murthy,Cipher-91,34,Male,Dakshina Kannada,Secondary,Unemployed,6,None,Arrested,0.92
56,Ganesh Hegde,Frost-84,41,Male,Dakshina Kannada,Primary,Unknown,1,Drug Cartel,Juvenile,0.38
57,Meera Sharma,Knox-77,48,Male,Tumakuru,Primary,Farmer,8,None,Acquitted,0.85
58,Shiva Shetty,Steel-77,48,Female,Mysuru,Primary,Farmer,6,Organized Crime,Bail,0.81
59,Girish Singh,Sierra-63,62,Male,Shivamogga,Secondary,Unemployed,3,Local Gang,Arrested,0.92
60,Imran Fernandes,Surge-56,69,Male,Bengaluru Urban,Secondary,Trader,1,None,Absconding,0.45
61,Maria Raju,Shadow-10,15,Male,Dharwad,Post-Graduate,Trader,4,None,Juvenile,0.3
62,Anjali Singh,Maverick-11,14,Female,Shivamogga,Secondary,Unemployed,6,None,Absconding,0.95
63,Joseph Rao,Blaze-96,29,Male,Belagavi,Primary,Labourer,3,None,Acquitted,0.63
64,Kavita Sharma,Maverick-89,36,Female,Mysuru,Primary,Student,4,None,Arrested,0.22
65,Priya Swamy,Ranger-98,27,Male,Udupi,Graduate,Student,1,Drug Cartel,Arrested,0.5
66,Arun Fernandes,Vortex-97,26,Male,Shivamogga,Post-Graduate,Driver,7,Drug Cartel,Arrested,1
67,Joseph Reddy,Iron-68,57,Male,Mysuru,Illiterate,Labourer,4,Organized Crime,Juvenile,0.44
68,Girish Prasad,Spark-69,56,Male,Shivamogga,Post-Graduate,Unknown,3,Local Gang,Convicted,0.47
69,Ramesh Reddy,Ranger-54,71,Male,Mysuru,Graduate,Unemployed,1,None,Arrested,0.19
70,Deepa Naik,Verdict-08,17,Male,Kalaburagi,Secondary,Farmer,6,Drug Cartel,Arrested,0.64
71,Pooja Rao,Tiger-01,24,Female,Belagavi,Post-Graduate,Driver,1,None,Acquitted,0.83
72,Shameer Menon,Bolt-03,22,Female,Udupi,Secondary,Unemployed,2,None,Juvenile,0.93
73,Anjali Sharma,Hawk-87,38,Male,Shivamogga,Illiterate,Unemployed,8,None,Convicted,0.51
74,Patel Patel,Blade-80,45,Female,Mysuru,Primary,Farmer,0,Drug Cartel,Arrested,0.5
75,Girish D'Souza,Orion-89,34,Male,Bengaluru Rural,Secondary,Unknown,7,Organized Crime,Juvenile,0.14
76,Suresh Gowda,Cipher-66,59,Male,Dakshina Kannada,Secondary,Unemployed,0,Local Gang,Juvenile,0.26
77,Priya Prasad,Frost-59,66,Male,Udupi,Illiterate,Trader,0,Local Gang,Arrested,0.62
78,Anita Reddy,Zenith-70,55,Male,Hassan,Graduate,Farmer,5,None,Convicted,0.32
79,Mohan Khan,Switch-06,19,Male,Mysuru,Illiterate,Student,1,Organized Crime,Acquitted,0.92
80,Krishna Pillai,Trident-99,26,Male,Tumakuru,Primary,Student,2,Drug Cartel,Arrested,0.96
81,Ganesh Swamy,Vector-12,13,Female,Hassan,Post-Graduate,Driver,5,None,Convicted,0.52
82,Nandini Naik,Storm-94,30,Male,Bengaluru Urban,Illiterate,Driver,4,None,Juvenile,0.65
83,Nandini Raju,Pulse-05,17,Male,Belagavi,Post-Graduate,Trader,8,None,Arrested,0.19
84,Maria Kumar,Blaze-71,54,Male,Dharwad,Graduate,Student,8,Organized Crime,Absconding,0.44
85,Ganesh Patel,Drift-73,51,Male,Bengaluru Rural,Secondary,Unemployed,8,Drug Cartel,Convicted,0.33
86,Anjali Sharma,Vector-57,68,Male,Belagavi,Secondary,Unknown,6,None,Acquitted,0.38
87,Kavita Sharma,Titan-70,55,Male,Kalaburagi,Post-Graduate,Driver,0,None,Bail,0.96
88,Lakshmi Rao,Rebel-52,72,Male,Bengaluru Rural,Post-Graduate,Farmer,8,Drug Cartel,Acquitted,0.7
89,Vijay Iyer,Striker-97,28,Female,Hassan,Primary,Unknown,7,None,Convicted,0.71
90,Shameer Shetty,King-01,24,Male,Dharwad,Primary,Driver,7,Local Gang,Bail,0.55
91,Krishna Rao,Cobra-94,31,Male,Dharwad,Secondary,Student,1,Drug Cartel,Acquitted,0.36
92,Girish Prasad,Tiger-76,49,Male,Belagavi,Illiterate,Trader,0,Local Gang,Acquitted,0.31
93,Priya Gowda,Falcon-69,56,Male,Dakshina Kannada,Graduate,Unknown,2,Drug Cartel,Convicted,0.65
94,Sunita Rao,Hawk-62,63,Male,Kalaburagi,Illiterate,Farmer,4,None,Bail,0.14
95,Shameer Fernandes,Valor-86,37,Male,Shivamogga,Post-Graduate,Student,3,Drug Cartel,Absconding,0.49
96,Nandini D'Souza,Jet-59,66,Female,Bengaluru Rural,Post-Graduate,Student,8,Organized Crime,Acquitted,0.45
97,Sanjay Singh,Nova-52,73,Male,Udupi,Illiterate,Farmer,5,None,Arrested,0.59
98,Krishna Menon,Sentinel-95,30,Male,Dharwad,Illiterate,Driver,3,None,Absconding,0.38
99,Krishna Raju,Phantom-11,13,Male,Belagavi,Illiterate,Farmer,5,None,Arrested,0.49
100,Rekha Khan,Switch-81,44,Male,Ballari,Secondary,Farmer,1,Drug Cartel,Convicted,0.49
101,Deepa Shetty,Vector-98,27,Male,Dakshina Kannada,Graduate,Student,6,None,Juvenile,0.42
102,Shameer D'Souza,Zephyr-67,58,Male,Kalaburagi,Secondary,Student,2,None,Absconding,0.13
103,Imran Singh,Bolt-71,53,Male,Shivamogga,Graduate,Driver,5,Local Gang,Arrested,0.58
104,Sunita Hegde,Lancer-76,48,Male,Ballari,Illiterate,Driver,4,Drug Cartel,Convicted,1
105,Rajesh Reddy,Kodiak-07,18,Female,Dharwad,Illiterate,Farmer,5,Drug Cartel,Bail,0.59
106,Anjali Patil,Mantis-00,25,Male,Bengaluru Rural,Primary,Farmer,2,None,Convicted,0.42
107,Shiva Raju,Nomad-93,32,Male,Udupi,Graduate,Student,6,Local Gang,Acquitted,0.21
108,Girish Fernandes,Dagger-60,64,Female,Ballari,Post-Graduate,Labourer,2,Local Gang,Acquitted,0.85
109,Kumar Patil,Verdict-91,33,Female,Bengaluru Rural,Secondary,Labourer,8,None,Absconding,0.65
110,Kumar Swamy,Striker-72,53,Male,Hassan,Secondary,Farmer,0,None,Arrested,0.95
111,Imran Rao,Viper-78,47,Male,Dharwad,Post-Graduate,Driver,4,Local Gang,Absconding,0.37
112,Kumar Fernandes,Verdict-58,67,Male,Mysuru,Secondary,Farmer,5,Drug Cartel,Bail,0.22
113,Arun Patel,Tiger-51,74,Male,Mysuru,Illiterate,Unemployed,4,Local Gang,Acquitted,0.32
114,Krishna Patel,Valor-83,42,Male,Ballari,Graduate,Trader,4,Local Gang,Arrested,0.95
115,Rajesh Swamy,Jade-98,27,Male,Shivamogga,Graduate,Driver,8,None,Arrested,0.22
116,Ganesh Khan,Lotus-91,34,Male,Tumakuru,Secondary,Student,4,None,Convicted,0.79
117,Joseph Iyer,Monsoon-84,41,Male,Belagavi,Post-Graduate,Driver,2,None,Acquitted,0.55
118,Maria Patel,Diesel-54,70,Male,Ballari,Primary,Driver,5,None,Convicted,0.63
119,Deepa Murthy,Umbra-83,41,Male,Belagavi,Secondary,Unknown,1,Local Gang,Acquitted,0.82
120,Shameer Murthy,Iron-03,20,Male,Bengaluru Urban,Post-Graduate,Trader,2,Organized Crime,Juvenile,0.23
121,Nandini Reddy,Switch-56,69,Male,Kalaburagi,Primary,Trader,8,Organized Crime,Convicted,0.74
122,Kavita Menon,Cobra-62,62,Female,Dharwad,Post-Graduate,Driver,8,None,Juvenile,0.65
123,Sunita Raju,Domino-03,22,Male,Udupi,Graduate,Driver,7,None,Acquitted,0.36
124,Sanjay Khan,Nimbus-11,14,Male,Udupi,Illiterate,Driver,7,Drug Cartel,Bail,0.29
125,Deepa Nair,Helix-89,36,Male,Tumakuru,Illiterate,Unknown,8,None,Juvenile,0.15
126,Lakshmi Reddy,Kodiak-82,43,Female,Mysuru,Graduate,Unknown,7,Local Gang,Juvenile,0.78
127,Imran Naik,Spire-90,35,Male,Udupi,Illiterate,Labourer,6,None,Arrested,0.81
128,Anjali Shetty,Rogue-11,12,Male,Bengaluru Rural,Secondary,Driver,7,Drug Cartel,Acquitted,0.9
129,Girish Nair,Umbra-76,49,Male,Shivamogga,Secondary,Unknown,2,None,Juvenile,0.81
130,Kumar Iyer,Signal-54,71,Male,Bengaluru Rural,Graduate,Unknown,1,None,Absconding,0.39
131,Sanjay Hegde,King-62,63,Male,Hassan,Illiterate,Driver,5,Drug Cartel,Absconding,0.7
132,Sanjay Menon,Brick-01,24,Female,Dakshina Kannada,Secondary,Student,3,None,Absconding,0.24
133,Meera D'Souza,Dagger-94,31,Male,Tumakuru,Primary,Unknown,1,Organized Crime,Convicted,0.17
134,Krishna Raju,Fang-87,38,Male,Mysuru,Secondary,Farmer,8,Local Gang,Arrested,0.75
135,Girish Naik,Hammer-80,45,Male,Bengaluru Urban,Post-Graduate,Trader,4,Drug Cartel,Arrested,0.33
136,Nandini Kumar,Jade-73,52,Male,Bengaluru Urban,Illiterate,Trader,0,None,Convicted,0.79
137,Meera Khan,Solstice-82,43,Male,Shivamogga,Post-Graduate,Labourer,5,None,Absconding,0.58
138,Krishna Gowda,Raven-91,34,Male,Ballari,Graduate,Student,6,None,Absconding,0.41
139,Ganesh Reddy,Pioneer-52,73,Male,Bengaluru Urban,Primary,Labourer,1,None,Acquitted,0.5
140,Priya Naik,Valor-06,19,Male,Bengaluru Urban,Primary,Student,4,None,Juvenile,0.62
141,Priya Shetty,Vector-70,55,Male,Dakshina Kannada,Illiterate,Student,2,Drug Cartel,Juvenile,0.6
142,Imran Menon,Cipher-61,62,Male,Mysuru,Secondary,Trader,2,Organized Crime,Convicted,0.86
143,Vijay Fernandes,Cinder-85,40,Male,Mysuru,Graduate,Labourer,4,None,Bail,0.93
144,Deepa Rao,Domino-78,47,Male,Bengaluru Urban,Illiterate,Labourer,8,None,Convicted,0.88
145,Rajesh Rao,Trace-04,20,Male,Udupi,Primary,Trader,3,Organized Crime,Bail,0.44
146,Anita Nair,Helix-64,61,Male,Udupi,Graduate,Farmer,5,None,Bail,0.47
147,Patel Sharma,Kodiak-57,68,Male,Kalaburagi,Secondary,Labourer,3,None,Absconding,0.61
148,Imran Menon,Striker-66,58,Male,Dharwad,Graduate,Labourer,5,None,Absconding,0.27
149,Suresh Prasad,Trace-60,65,Male,Shivamogga,Primary,Unemployed,2,None,Absconding,0.44
150,Lakshmi Menon,Verdict-52,72,Male,Bengaluru Urban,Illiterate,Student,4,Organized Crime,Bail,0.55
151,Shiva Patil,Wolf-90,35,Male,Hassan,Post-Graduate,Driver,5,None,Convicted,0.44
152,Priya Hegde,Basilisk-83,42,Female,Shivamogga,Illiterate,Unemployed,6,Local Gang,Convicted,0.15
153,Mohan Murthy,Brick-76,49,Female,Bengaluru Rural,Post-Graduate,Unemployed,3,None,Juvenile,0.34
154,Sunita Raju,Striker-03,20,Female,Belagavi,Illiterate,Labourer,2,Drug Cartel,Convicted,0.37
155,Krishna Khan,Fang-62,63,Male,Mysuru,Illiterate,Student,5,None,Arrested,0.31
156,Ganesh Iyer,Hammer-55,70,Male,Dharwad,Graduate,Labourer,5,Organized Crime,Convicted,0.27
157,Mohan Iyer,Jet-09,16,Male,Kalaburagi,Primary,Unknown,6,None,Bail,0.18
158,Meera Nair,Striker-59,66,Male,Ballari,Post-Graduate,Student,6,None,Arrested,0.42
159,Shiva Patel,Blaze-70,55,Male,Bengaluru Rural,Post-Graduate,Labourer,8,None,Juvenile,0.25
160,Lakshmi Sharma,Steel-88,37,Male,Dharwad,Illiterate,Driver,4,None,Juvenile,0.63
161,Vijay Shetty,Valor-81,44,Male,Belagavi,Graduate,Driver,6,Drug Cartel,Acquitted,0.37
162,Lakshmi Patel,Anchor-74,51,Male,Shivamogga,Graduate,Student,3,None,Convicted,0.83
163,Nandini Rao,Bison-67,58,Male,Bengaluru Urban,Graduate,Unknown,3,Local Gang,Bail,0.84
164,Joseph Murthy,Cinder-60,65,Male,Mysuru,Graduate,Farmer,6,None,Convicted,0.62
165,Deepa Naik,Domino-53,72,Male,Bengaluru Rural,Illiterate,Farmer,3,Drug Cartel,Juvenile,0.25
166,Imran Menon,Quartz-07,18,Male,Bengaluru Rural,Secondary,Labourer,8,Drug Cartel,Acquitted,0.5
167,Joseph Swamy,Ember-00,25,Female,Dharwad,Illiterate,Driver,6,None,Arrested,0.41
168,Rajesh Prasad,Lancer-93,32,Male,Udupi,Graduate,Driver,1,None,Arrested,0.12
169,Joseph Patil,Pulse-86,39,Male,Belagavi,Post-Graduate,Trader,7,None,Convicted,0.27
170,Ravi Iyer,Bolt-55,69,Male,Bengaluru Urban,Primary,Labourer,4,Drug Cartel,Arrested,0.82
171,Kavita Rao,Talon-72,53,Female,Ballari,Secondary,Student,6,Organized Crime,Convicted,0.41
172,Kumar Menon,Grit-84,40,Male,Mysuru,Secondary,Unemployed,3,None,Arrested,0.44
173,Ramesh Iyer,Jade-78,47,Male,Shivamogga,Post-Graduate,Unknown,2,Organized Crime,Absconding,0.36
174,Shameer Naik,Lotus-71,54,Male,Kalaburagi,Post-Graduate,Student,7,Local Gang,Juvenile,0.47
175,Kumar Kumar,Sable-05,20,Male,Tumakuru,Post-Graduate,Driver,2,Local Gang,Acquitted,0.59
176,Sunita Raju,Rogue-98,27,Male,Dharwad,Post-Graduate,Labourer,6,None,Juvenile,0.37
177,Sunita Singh,Sentinel-50,75,Male,Tumakuru,Primary,Farmer,5,Drug Cartel,Acquitted,0.25
178,Krishna Rao,Viper-62,62,Male,Hassan,Post-Graduate,Labourer,5,Drug Cartel,Bail,0.62
179,Rekha Menon,Nova-77,48,Female,Dakshina Kannada,Primary,Unknown,2,None,Absconding,0.85
180,Lakshmi Sharma,Rebel-70,55,Male,Dharwad,Illiterate,Unknown,1,Local Gang,Acquitted,0.73
181,Lakshmi Patel,Slate-61,63,Female,Shivamogga,Secondary,Farmer,1,Organized Crime,Convicted,0.97
182,Sunita Patel,Surge-53,70,Male,Hassan,Graduate,Farmer,5,Drug Cartel,Arrested,0.19
183,Ravi Reddy,Indigo-70,55,Male,Kalaburagi,Primary,Unknown,2,Drug Cartel,Bail,0.89
184,Imran Singh,Phantom-03,22,Female,Mysuru,Illiterate,Trader,4,Drug Cartel,Juvenile,0.49
185,Ravi Rao,Bolt-96,29,Male,Shivamogga,Graduate,Unemployed,0,Drug Cartel,Bail,0.99
186,Lakshmi Kumar,Echo-89,36,Male,Bengaluru Rural,Secondary,Driver,4,None,Convicted,0.68
187,Pooja Swamy,Shadow-63,62,Male,Tumakuru,Primary,Trader,7,None,Arrested,0.23
188,Sanjay Singh,Raven-56,69,Male,Bengaluru Rural,Primary,Student,4,Drug Cartel,Arrested,0.28
189,Patel Khan,Lantern-11,13,Male,Bengaluru Rural,Primary,Trader,1,Organized Crime,Arrested,0.94
190,Ramesh Singh,Pulse-61,64,Female,Bengaluru Rural,Illiterate,Student,1,None,Bail,0.14
191,Sanjay Prasad,Diesel-75,49,Male,Kalaburagi,Illiterate,Unknown,8,Organized Crime,Acquitted,0.35
192,Rajesh Sharma,Bullet-08,17,Male,Shivamogga,Illiterate,Driver,6,Drug Cartel,Absconding,0.32
193,Girish Iyer,Harbor-61,63,Male,Udupi,Primary,Unemployed,0,Drug Cartel,Absconding,0.25
194,Pooja Nair,Kite-54,70,Male,Dakshina Kannada,Illiterate,Farmer,0,None,Convicted,0.57
195,Imran Kumar,Thunder-68,55,Male,Hassan,Primary,Driver,2,None,Arrested,0.31
196,Anjali Gowda,Sable-80,45,Male,Mysuru,Primary,Farmer,0,Organized Crime,Juvenile,0.3
197,Kavita Nair,Rogue-73,52,Male,Shivamogga,Illiterate,Labourer,3,Organized Crime,Arrested,0.16
198,Ganesh Shetty,Ember-68,54,Male,Tumakuru,Secondary,Student,4,Drug Cartel,Acquitted,0.52
199,Ganesh Rao,Knox-59,66,Male,Kalaburagi,Illiterate,Labourer,8,None,Juvenile,0.96
200,Anjali Shetty,Canyon-75,50,Male,Bengaluru Urban,Primary,Unknown,4,None,Arrested,0.91
201,Girish Kumar,Trace-06,19,Male,Kalaburagi,Illiterate,Student,0,Local Gang,Juvenile,0.31
202,Shiva Khan,Warden-99,26,Male,Bengaluru Rural,Primary,Labourer,1,None,Arrested,0.5
203,Deepa Singh,Ghost-92,33,Male,Bengaluru Rural,Illiterate,Labourer,4,Drug Cartel,Juvenile,0.29
204,Mohan Hegde,Striker-68,55,Male,Dakshina Kannada,Primary,Unemployed,6,Local Gang,Acquitted,0.19
205,Vijay Reddy,Orion-01,23,Male,Kalaburagi,Secondary,Unknown,1,Organized Crime,Acquitted,0.93
206,Rajesh Pillai,Vector-76,46,Male,Dharwad,Illiterate,Labourer,6,Drug Cartel,Convicted,0.13
207,Meera Rao,Talon-88,37,Female,Bengaluru Urban,Post-Graduate,Student,3,Drug Cartel,Bail,0.47
208,Mohan Nair,Quartz-57,68,Male,Ballari,Primary,Unknown,8,None,Convicted,0.53
209,Nandini Prasad,Ember-50,75,Male,Hassan,Primary,Unemployed,4,None,Convicted,0.79
210,Arun Hegde,Monsoon-91,34,Male,Udupi,Illiterate,Farmer,3,Organized Crime,Convicted,0.94
211,Kumar Hegde,Diesel-60,65,Male,Udupi,Secondary,Student,2,Organized Crime,Absconding,0.59
212,Mohan Naik,Umbra-90,35,Male,Bengaluru Urban,Secondary,Student,3,None,Bail,0.93
213,Suresh Gowda,Bullet-83,42,Female,Belagavi,Illiterate,Driver,6,Organized Crime,Arrested,0.37
214,Patel D'Souza,Umbra-68,56,Male,Udupi,Post-Graduate,Unknown,5,None,Juvenile,0.44
215,Vijay Patil,Cobra-69,56,Female,Hassan,Illiterate,Labourer,5,Organized Crime,Absconding,0.94
216,Mohan Hegde,Fang-12,13,Female,Bengaluru Rural,Secondary,Trader,0,None,Absconding,0.72
217,Arun Gowda,Sable-55,70,Male,Mysuru,Graduate,Trader,6,None,Acquitted,0.19
218,Imran Menon,Vortex-73,52,Male,Bengaluru Urban,Secondary,Unemployed,5,None,Arrested,0.41
219,Patel Kumar,Anchor-65,59,Female,Dharwad,Illiterate,Trader,2,Organized Crime,Convicted,0.15
220,Ramesh Raju,Silver-95,30,Male,Tumakuru,Illiterate,Unemployed,6,Organized Crime,Acquitted,0.24
221,Mohan Shetty,Summit-88,37,Male,Bengaluru Urban,Primary,Labourer,4,None,Convicted,0.38
222,Rekha Menon,Rogue-07,18,Male,Kalaburagi,Secondary,Labourer,7,None,Bail,0.52
223,Nandini Naik,Warden-74,51,Male,Ballari,Graduate,Farmer,3,Organized Crime,Arrested,0.84
224,Joseph Murthy,Ghost-67,58,Male,Udupi,Illiterate,Student,8,Organized Crime,Juvenile,0.21
225,Kumar Rao,Viper-60,65,Male,Shivamogga,Graduate,Labourer,2,Organized Crime,Bail,0.92
226,Mohan Khan,Fang-05,20,Female,Ballari,Graduate,Farmer,0,Drug Cartel,Acquitted,0.2
227,Nandini Swamy,Steel-72,53,Male,Dakshina Kannada,Post-Graduate,Driver,6,None,Convicted,0.61
228,Sunita Khan,Valor-65,60,Male,Bengaluru Urban,Graduate,Driver,3,None,Juvenile,0.93
229,Kavita Shetty,Radar-93,32,Male,Tumakuru,Primary,Driver,7,None,Bail,0.64
230,Rajesh D'Souza,Bison-51,74,Female,Ballari,Primary,Unemployed,4,Drug Cartel,Acquitted,0.22
231,Ravi Patil,Maverick-06,19,Male,Bengaluru Urban,Secondary,Unknown,3,None,Bail,0.55
232,Joseph Gowda,Sentinel-63,62,Male,Dharwad,Post-Graduate,Student,5,None,Absconding,0.77
233,Ravi Khan,Umbra-65,60,Female,Shivamogga,Primary,Unknown,3,None,Juvenile,0.56
234,Joseph Gowda,Iron-85,40,Male,Tumakuru,Secondary,Student,4,Drug Cartel,Juvenile,0.48
235,Girish Nair,King-51,74,Male,Hassan,Graduate,Student,1,None,Acquitted,0.61
236,Anita Menon,Pulse-70,54,Female,Shivamogga,Secondary,Farmer,4,None,Juvenile,0.27
237,Rekha Naik,Lantern-98,27,Male,Mysuru,Illiterate,Unknown,7,None,Bail,0.46
238,Maria Swamy,Meteor-91,34,Male,Shivamogga,Post-Graduate,Unknown,7,Drug Cartel,Bail,0.86
239,Kumar Shetty,Panther-84,41,Male,Ballari,Primary,Unknown,5,Drug Cartel,Arrested,0.42
240,Ramesh Patel,Scorch-77,48,Male,Bengaluru Rural,Graduate,Unemployed,1,Local Gang,Absconding,0.88
241,Ramesh Naik,Blade-97,27,Male,Hassan,Graduate,Labourer,5,Drug Cartel,Absconding,0.54
242,Kavita Pillai,Sentinel-56,69,Male,Mysuru,Post-Graduate,Farmer,2,Local Gang,Arrested,0.65
243,Ramesh Murthy,Trace-56,69,Male,Belagavi,Illiterate,Driver,8,None,Arrested,0.66
244,Rekha Singh,Frost-76,48,Male,Dakshina Kannada,Primary,Unemployed,0,None,Bail,0.76
245,Ramesh Menon,Lancer-70,55,Male,Mysuru,Graduate,Unemployed,3,None,Juvenile,0.29
246,Arun Singh,Harbor-96,29,Female,Dakshina Kannada,Post-Graduate,Student,0,Organized Crime,Arrested,0.69
247,Ramesh Fernandes,Slate-56,69,Male,Mysuru,Primary,Unknown,0,None,Convicted,0.7
248,Maria Sharma,Magnet-82,43,Male,Dakshina Kannada,Illiterate,Farmer,1,Local Gang,Absconding,0.8
249,Meera D'Souza,Nimbus-75,50,Male,Tumakuru,Graduate,Driver,3,None,Arrested,0.92
250,Vijay Kumar,Hawk-97,28,Male,Dakshina Kannada,Primary,Trader,4,None,Convicted,0.19
251,Anjali Shetty,Blade-90,35,Male,Bengaluru Rural,Illiterate,Unemployed,2,Drug Cartel,Juvenile,0.4
