EmployeeID,DistrictID,UnitID,RankID,DesignationID,KGID,FirstName,EmployeeDOB,GenderID,BloodGroupID,PhysicallyChallenged,AppointmentDate
28,3,14,2,1,KGID-00028,OFF-AB,1994-05-02,1,5,0,2012-08-15
29,3,14,3,2,KGID-00029,OFF-AC,1975-06-03,1,6,0,2013-09-15
30,3,14,4,3,KGID-00030,OFF-AD,1980-07-04,2,7,0,2014-10-15
31,3,15,2,1,KGID-00031,OFF-AE,1985-08-05,1,8,0,2015-11-15
32,3,15,3,2,KGID-00032,OFF-AF,1990-09-06,1,1,0,2016-12-15
33,3,15,4,3,KGID-00033,OFF-AG,1995-10-07,2,2,0,2017-01-15
34,3,16,2,1,KGID-00034,OFF-AH,1976-11-08,1,3,0,2018-02-15
35,3,16,3,2,KGID-00035,OFF-AI,1981-12-09,1,4,0,2019-03-15
36,3,16,4,3,KGID-00036,OFF-AJ,1986-01-10,2,5,0,2002-04-15
37,3,17,2,1,KGID-00037,OFF-AK,1991-02-11,1,6,0,2003-05-15
38,3,17,3,2,KGID-00038,OFF-AL,1996-03-12,1,7,0,2004-06-15
39,3,17,4,3,KGID-00039,OFF-AM,1977-04-13,2,8,0,2005-07-15
40,4,19,2,1,KGID-00040,OFF-AN,1982-05-14,1,1,0,2006-08-15
41,4,19,3,2,KGID-00041,OFF-AO,1987-06-15,1,2,0,2007-09-15
42,4,19,4,3,KGID-00042,OFF-AP,1992-07-16,2,3,0,2008-10-15
43,4,20,2,1,KGID-00043,OFF-AQ,1997-08-17,1,4,0,2009-11-15
44,4,20,3,2,KGID-00044,OFF-AR,1978-09-18,1,5,0,2010-12-15
45,4,20,4,3,KGID-00045,OFF-AS,1983-10-19,2,6,0,2011-01-15
46,4,21,2,1,KGID-00046,OFF-AT,1988-11-20,1,7,0,2012-02-15
47,4,21,3,2,KGID-00047,OFF-AU,1993-12-21,1,8,0,2013-03-15
48,4,21,4,3,KGID-00048,OFF-AV,1974-01-22,2,1,0,2014-04-15
49,5,23,2,1,KGID-00049,OFF-AW,1979-02-23,1,2,0,2015-05-15
50,5,23,3,2,KGID-00050,OFF-AX,1984-03-24,1,3,0,2016-06-15
51,5,23,4,3,KGID-00051,OFF-AY,1989-04-25,2,4,0,2017-07-15
52,5,24,2,1,KGID-00052,OFF-AZ,1994-05-26,1,5,0,2018-08-15
53,5,24,3,2,KGID-00053,OFF-BA,1975-06-27,1,6,0,2019-09-15
54,5,24,4,3,KGID-00054,OFF-BB,1980-07-01,2,7,0,2002-10-15
55,5,25,2,1,KGID-00055,OFF-BC,1985-08-02,1,8,0,2003-11-15
56,5,25,3,2,KGID-00056,OFF-BD,1990-09-03,1,1,0,2004-12-15
57,5,25,4,3,KGID-00057,OFF-BE,1995-10-04,2,2,0,2005-01-15
58,6,27,2,1,KGID-00058,OFF-BF,1976-11-05,1,3,0,2006-02-15
59,6,27,3,2,KGID-00059,OFF-BG,1981-12-06,1,4,0,2007-03-15
60,6,27,4,3,KGID-00060,OFF-BH,1986-01-07,2,5,0,2008-04-15
61,6,28,2,1,KGID-00061,OFF-BI,1991-02-08,1,6,0,2009-05-15
62,6,28,3,2,KGID-00062,OFF-BJ,1996-03-09,1,7,0,2010-06-15
63,6,28,4,3,KGID-00063,OFF-BK,1977-04-10,2,8,0,2011-07-15
64,6,29,2,1,KGID-00064,OFF-BL,1982-05-11,1,1,0,2012-08-15
65,6,29,3,2,KGID-00065,OFF-BM,1987-06-12,1,2,0,2013-09-15
66,6,29,4,3,KGID-00066,OFF-BN,1992-07-13,2,3,0,2014-10-15
67,6,30,2,1,KGID-00067,OFF-BO,1997-08-14,1,4,0,2015-11-15
68,6,30,3,2,KGID-00068,OFF-BP,1978-09-15,1,5,0,2016-12-15
69,6,30,4,3,KGID-00069,OFF-BQ,1983-10-16,2,6,0,2017-01-15
70,7,32,2,1,KGID-00070,OFF-BR,1988-11-17,1,7,0,2018-02-15
71,7,32,3,2,KGID-00071,OFF-BS,1993-12-18,1,8,0,2019-03-15
72,7,32,4,3,KGID-00072,OFF-BT,1974-01-19,2,1,0,2002-04-15
73,7,33,2,1,KGID-00073,OFF-BU,1979-02-20,1,2,0,2003-05-15
74,7,33,3,2,KGID-00074,OFF-BV,1984-03-21,1,3,0,2004-06-15
75,7,33,4,3,KGID-00075,OFF-BW,1989-04-22,2,4,0,2005-07-15
76,7,34,2,1,KGID-00076,OFF-BX,1994-05-23,1,5,0,2006-08-15
77,7,34,3,2,KGID-00077,OFF-BY,1975-06-24,1,6,0,2007-09-15
78,7,34,4,3,KGID-00078,OFF-BZ,1980-07-25,2,7,0,2008-10-15
79,8,36,2,1,KGID-00079,OFF-CA,1985-08-26,1,8,0,2009-11-15
80,8,36,3,2,KGID-00080,OFF-CB,1990-09-27,1,1,0,2010-12-15
81,8,36,4,3,KGID-00081,OFF-CC,1995-10-01,2,2,0,2011-01-15
82,8,37,2,1,KGID-00082,OFF-CD,1976-11-02,1,3,0,2012-02-15
83,8,37,3,2,KGID-00083,OFF-CE,1981-12-03,1,4,0,2013-03-15
84,8,37,4,3,KGID-00084,OFF-CF,1986-01-04,2,5,0,2014-04-15
85,8,38,2,1,KGID-00085,OFF-CG,1991-02-05,1,6,0,2015-05-15
86,8,38,3,2,KGID-00086,OFF-CH,1996-03-06,1,7,0,2016-06-15
87,8,38,4,3,KGID-00087,OFF-CI,1977-04-07,2,8,0,2017-07-15
88,9,40,2,1,KGID-00088,OFF-CJ,1982-05-08,1,1,0,2018-08-15
89,9,40,3,2,KGID-00089,OFF-CK,1987-06-09,1,2,0,2019-09-15
90,9,40,4,3,KGID-00090,OFF-CL,1992-07-10,2,3,0,2002-10-15
91,9,41,2,1,KGID-00091,OFF-CM,1997-08-11,1,4,0,2003-11-15
92,9,41,3,2,KGID-00092,OFF-CN,1978-09-12,1,5,0,2004-12-15
93,9,41,4,3,KGID-00093,OFF-CO,1983-10-13,2,6,0,2005-01-15
94,9,42,2,1,KGID-00094,OFF-CP,1988-11-14,1,7,0,2006-02-15
95,9,42,3,2,KGID-00095,OFF-CQ,1993-12-15,1,8,0,2007-03-15
96,9,42,4,3,KGID-00096,OFF-CR,1974-01-16,2,1,0,2008-04-15
97,10,44,2,1,KGID-00097,OFF-CS,1979-02-17,1,2,0,2009-05-15
98,10,44,3,2,KGID-00098,OFF-CT,1984-03-18,1,3,0,2010-06-15
99,10,44,4,3,KGID-00099,OFF-CU,1989-04-19,2,4,0,2011-07-15
100,10,45,2,1,KGID-00100,OFF-CV,1994-05-20,1,5,0,2012-08-15
101,10,45,3,2,KGID-00101,OFF-CW,1975-06-21,1,6,0,2013-09-15
102,10,45,4,3,KGID-00102,OFF-CX,1980-07-22,2,7,0,2014-10-15
103,10,46,2,1,KGID-00103,OFF-CY,1985-08-23,1,8,0,2015-11-15
104,10,46,3,2,KGID-00104,OFF-CZ,1990-09-24,1,1,0,2016-12-15
105,10,46,4,3,KGID-00105,OFF-DA,1995-10-25,2,2,0,2017-01-15
106,11,48,2,1,KGID-00106,OFF-DB,1976-11-26,1,3,0,2018-02-15
107,11,48,3,2,KGID-00107,OFF-DC,1981-12-27,1,4,0,2019-03-15
108,11,48,4,3,KGID-00108,OFF-DD,1986-01-01,2,5,0,2002-04-15
109,11,49,2,1,KGID-00109,OFF-DE,1991-02-02,1,6,0,2003-05-15
110,11,49,3,2,KGID-00110,OFF-DF,1996-03-03,1,7,0,2004-06-15
111,11,49,4,3,KGID-00111,OFF-DG,1977-04-04,2,8,0,2005-07-15
112,11,50,2,1,KGID-00112,OFF-DH,1982-05-05,1,1,0,2006-08-15
113,11,50,3,2,KGID-00113,OFF-DI,1987-06-06,1,2,0,2007-09-15
114,11,50,4,3,KGID-00114,OFF-DJ,1992-07-07,2,3,0,2008-10-15
115,12,52,2,1,KGID-00115,OFF-DK,1997-08-08,1,4,0,2009-11-15
116,12,52,3,2,KGID-00116,OFF-DL,1978-09-09,1,5,0,2010-12-15
117,12,52,4,3,KGID-00117,OFF-DM,1983-10-10,2,6,0,2011-01-15
118,12,53,2,1,KGID-00118,OFF-DN,1988-11-11,1,7,0,2012-02-15
119,12,53,3,2,KGID-00119,OFF-DO,1993-12-12,1,8,0,2013-03-15
120,12,53,4,3,KGID-00120,OFF-DP,1974-01-13,2,1,0,2014-04-15
121,12,54,2,1,KGID-00121,OFF-DQ,1979-02-14,1,2,0,2015-05-15
122,12,54,3,2,KGID-00122,OFF-DR,1984-03-15,1,3,0,2016-06-15
123,12,54,4,3,KGID-00123,OFF-DS,1989-04-16,2,4,0,2017-07-15
